lat,long,date,time,region
5.4239,125.3801,13/07/2024,13:00:00,Region XI - Davao Region
5.5756,125.3528,12/07/2024,,Region XI - Davao Region
6.05,124.9167,12/26/2011,,Region XII - SOCCSKSARGEN
6.1068,124.4669,14/01/2023,00:00:00,Region XII - SOCCSKSARGEN
6.1113,125.514,13/02/2023,21:00:00,Region XII - SOCCSKSARGEN
6.1188,124.8792,10/17/2017,,Region XII - SOCCSKSARGEN
6.133,125.0245,08/22/2008,,Region XII - SOCCSKSARGEN
6.1458,124.8955,12/09/2010,,Region XII - SOCCSKSARGEN
6.199382401,124.8566407,01/12/2014,,Region XII - SOCCSKSARGEN
6.2245,124.7128,07/09/2017,,Region XII - SOCCSKSARGEN
6.2245,124.7128,04/10/2016,23:00:00,Region XII - SOCCSKSARGEN
6.2644,125.6678,07/30/2016,,Region XI - Davao Region
6.2793,124.7126,12/29/2018,,Region XII - SOCCSKSARGEN
6.2793,124.7126,04/10/2016,15:00:00,Region XII - SOCCSKSARGEN
6.3078,125.1286,13/07/2024,,Region XII - SOCCSKSARGEN
6.3314,124.9485,06/25/2015,,Region XII - SOCCSKSARGEN
6.3333,124.95,01/18/2011,,Region XII - SOCCSKSARGEN
6.3344,124.946,05/13/2012,,Region XII - SOCCSKSARGEN
6.355,126.1988,01/02/2024,,Region XI - Davao Region
6.3665,124.7338,05/26/2011,,Region XII - SOCCSKSARGEN
6.3666,124.7333,01/30/2011,,Region XII - SOCCSKSARGEN
6.3879,124.7962,01/18/2011,,Region XII - SOCCSKSARGEN
6.4111,124.8338,08/04/2013,,Region XII - SOCCSKSARGEN
6.4564,124.8763,12/28/2018,,Region XII - SOCCSKSARGEN
6.4737,125.0676,06/30/2014,,Region XII - SOCCSKSARGEN
6.4791,124.8142,10/04/2016,,Region XII - SOCCSKSARGEN
6.500821,124.843439,10/28/2016,,Region XII - SOCCSKSARGEN
6.500821,124.843439,28/10/2016,07:00:00,Region XII - SOCCSKSARGEN
6.503,124.7817,10/21/2013,,Region XII - SOCCSKSARGEN
6.5368,124.5618,05/19/2014,,Region XII - SOCCSKSARGEN
6.5478,125.3874,18/01/2024,18:00:00,Region XI - Davao Region
6.5697956,126.0946718,15/02/2023,,Region XI - Davao Region
6.6994,124.377,10/04/2022,08:00:00,Region XII - SOCCSKSARGEN
6.769806329,125.1815517,03/16/2011,,Region XI - Davao Region
6.76980633,125.1815517,09/07/2017,00:00:00,Region XI - Davao Region
6.7916,125.1489,11/24/2009,,Region XI - Davao Region
6.8426,125.4137,01/03/2015,,Region XI - Davao Region
6.8556,124.1437,27/10/2022,04:38:00,BARMM
6.8779,126.1703,31/01/2024,,Region XI - Davao Region
6.9264,122.0239,08/19/2013,,Region IX - Zamboanga Peninsula
6.9356,126.1826,30/01/2024,21:53:00,Region XI - Davao Region
6.9374,125.4141,08/15/2012,,Region XI - Davao Region
6.938,122.0088,28/06/2016,23:00:00,Region IX - Zamboanga Peninsula
6.9452,122.1066,08/04/2013,,Region IX - Zamboanga Peninsula
6.9523,126.1125,31/01/2024,07:03:00,Region XI - Davao Region
6.9577,126.2071,01/02/2024,10:16:00,Region XI - Davao Region
6.9865,125.1641,14/02/2023,11:00:00,Region XII - SOCCSKSARGEN
6.9894,122.1187,11/22/2013,,Region IX - Zamboanga Peninsula
6.9898,126.3173,02/26/2013,,Region XI - Davao Region
6.9928,126.1146,31/01/2024,03:00:00,Region XI - Davao Region
6.9971,121.9506,12/07/2024,15:00:00,Region IX - Zamboanga Peninsula
7.008,126.2853,27/12/2022,11:10:00,Region XI - Davao Region
7.0097,126.3196,30/01/2024,22:23:00,Region XI - Davao Region
7.0134,125.9914,31/01/2024,,Region XI - Davao Region
7.0225,125.2242,08/05/2015,,Region XII - SOCCSKSARGEN
7.0449,126.4497,01/11/2014,,Region XI - Davao Region
7.0587,125.569,16/12/2021,12:13:00,Region XI - Davao Region
7.0611,121.9325,01/24/2017,,Region IX - Zamboanga Peninsula
7.0653,125.6072,07/04/2011,,Region XI - Davao Region
7.0804,125.6147,02/16/2012,,Region XI - Davao Region
7.0815,126.1764,30/01/2024,19:58:00,Region XI - Davao Region
7.0815,126.1764,31/01/2024,14:32:00,Region XI - Davao Region
7.0897,124.1894,14/01/2023,,BARMM
7.094308,125.60468,12/30/2010,,Region XI - Davao Region
7.094308,125.60468,07/09/2017,18:00:00,Region XI - Davao Region
7.0965,121.9032,22/10/2024,03:30:00,Region IX - Zamboanga Peninsula
7.1083,126.0452,31/01/2024,,Region XI - Davao Region
7.1319,125.9453,16/01/2024,,Region XI - Davao Region
7.1355,124.0617,14/01/2023,,BARMM
7.1368,125.8874,18/01/2024,,Region XI - Davao Region
7.1426,125.4782,01/15/2009,,Region XI - Davao Region
7.1552,126.1627,31/01/2024,15:00:00,Region XI - Davao Region
7.1558,125.7542,20/07/2024,22:00:00,Region XI - Davao Region
7.1568,126.159,31/01/2024,10:01:00,Region XI - Davao Region
7.1675,121.935,08/03/2013,,Region IX - Zamboanga Peninsula
7.1733,124.2185,07/28/2013,,BARMM
7.174586159,125.6063053,01/05/2017,,Region XI - Davao Region
7.17458616,125.6063053,05/01/2017,14:00:00,Region XI - Davao Region
7.1904,124.5335,10/18/2010,,Region XII - SOCCSKSARGEN
7.1916,126.1086,04/22/2011,,Region XI - Davao Region
7.192836513,125.9690316,09/03/2010,,Region XI - Davao Region
7.192857627,125.969436,01/15/2012,,Region XI - Davao Region
7.2075,122.2299,08/04/2013,,Region IX - Zamboanga Peninsula
7.2195,125.465,01/24/2013,,Region XI - Davao Region
7.238,126.1248,31/01/2024,03:00:00,Region XI - Davao Region
7.253,125.3015,06/17/2014,,Region XI - Davao Region
7.2531,125.9906,25/12/2022,10:56:00,Region XI - Davao Region
7.2549,126.1557,01/17/2011,,Region XI - Davao Region
7.257,126.1579,01/14/2012,,Region XI - Davao Region
7.2641,126.0889,02/02/2024,14:00:00,Region XI - Davao Region
7.2721,125.984,31/01/2024,12:30:00,Region XI - Davao Region
7.2721,125.984,31/01/2024,15:34:00,Region XI - Davao Region
7.2757,126.1169,31/01/2024,09:00:00,Region XI - Davao Region
7.2812,126.2358,16/01/2024,,Region XI - Davao Region
7.2815,126.4951,16/01/2024,,Region XI - Davao Region
7.2871,126.1451,27/12/2022,09:41:00,Region XI - Davao Region
7.2871,126.1451,16/01/2024,,Region XI - Davao Region
7.294,126.1039,18/01/2024,19:40:00,Region XI - Davao Region
7.294,126.1039,18/01/2024,,Region XI - Davao Region
7.3011,125.9712,25/12/2022,10:56:00,Region XI - Davao Region
7.3182,126.0779,18/01/2024,21:00:00,Region XI - Davao Region
7.3186,125.2738,01/02/2024,22:57:00,Region XI - Davao Region
7.3306,126.5158,17/01/2024,04:55:00,Region XI - Davao Region
7.3313,126.4822,15/01/2024,,Region XI - Davao Region
7.3411,126.2278,18/01/2024,15:00:00,Region XI - Davao Region
7.3411,126.2278,19/12/2023,04:00:00,Region XI - Davao Region
7.3521,126.1544,08/31/2010,,Region XI - Davao Region
7.357,125.906,15/01/2024,,Region XI - Davao Region
7.3575,125.8802,26/12/2022,05:20:00,Region XI - Davao Region
7.3594,126.1518,18/01/2024,17:00:00,Region XI - Davao Region
7.36,122.1865,05/25/2011,,Region IX - Zamboanga Peninsula
7.3667,125.85,01/11/2014,,Region XI - Davao Region
7.3678,126.1487,25/01/2023,22:57:00,Region XI - Davao Region
7.3678,126.1487,16/01/2024,,Region XI - Davao Region
7.3707,125.8859,31/01/2024,,Region XI - Davao Region
7.3725,126.1401,05/04/2022,20:52:00,Region XI - Davao Region
7.375,125.87,05/19/2011,,Region XI - Davao Region
7.3773,126.0266,24/01/2023,21:08:00,Region XI - Davao Region
7.3773,126.0266,31/01/2024,,Region XI - Davao Region
7.384,126.147,16/01/2024,,Region XI - Davao Region
7.3866,126.1134,25/01/2023,09:25:00,Region XI - Davao Region
7.3866,126.1134,16/01/2024,,Region XI - Davao Region
7.3911,125.975,31/01/2024,11:00:00,Region XI - Davao Region
7.3911,125.975,25/12/2022,08:24:00,Region XI - Davao Region
7.4009,126.0264,14/01/2023,04:00:00,Region XI - Davao Region
7.4021,126.5028,15/01/2024,,Region XI - Davao Region
7.4022,126.5511,15/01/2024,05:05:00,Region XI - Davao Region
7.4035,126.0136,25/12/2022,00:00:00,Region XI - Davao Region
7.4041,126.0569,15/01/2024,,Region XI - Davao Region
7.4086,126.1287,18/12/2023,09:00:00,Region XI - Davao Region
7.4086,126.1287,18/01/2024,,Region XI - Davao Region
7.4117,126.112,25/01/2023,14:50:00,Region XI - Davao Region
7.4117,126.112,16/01/2024,,Region XI - Davao Region
7.4149,125.9845,25/01/2023,11:28:00,Region XI - Davao Region
7.4149,125.9845,18/02/2023,09:48:00,Region XI - Davao Region
7.4149,125.9845,15/01/2024,,Region XI - Davao Region
7.4166,126.0011,01/10/2014,,Region XI - Davao Region
7.4178,126.0526,08/01/2023,11:54:00,Region XI - Davao Region
7.4178,126.0526,15/01/2024,,Region XI - Davao Region
7.4211,126.4088,15/01/2024,,Region XI - Davao Region
7.4238,125.976,15/01/2024,,Region XI - Davao Region
7.4256,126.491,18/01/2024,07:00:00,Region XI - Davao Region
7.4528,125.8953,31/01/2024,,Region XI - Davao Region
7.4571,126.1706,19/12/2023,,Region XI - Davao Region
7.4763,125.8721,31/01/2024,,Region XI - Davao Region
7.4804,126.0321,16/01/2024,,Region XI - Davao Region
7.4858,125.9097,27/01/2023,21:42:00,Region XI - Davao Region
